"","la.min","la.max","lo.min","lo.max","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","type"
"1",40.5,40.5041,-74.25,-74.2445,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"2",40.5,40.5041,-74.2445,-74.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"3",40.5,40.5041,-74.239,-74.2335,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"4",40.5041,40.5082,-74.25,-74.2445,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"5",40.5041,40.5082,-74.2445,-74.239,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,2,2,0,0,0,1
"6",40.5041,40.5082,-74.239,-74.2335,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1
"7",40.5041,40.5082,-74.2335,-74.228,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"8",40.5082,40.5123,-74.25,-74.2445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,1
"9",40.5082,40.5123,-74.2445,-74.239,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,3,1,0,1,0,0,0,0,0,1
"10",40.5082,40.5123,-74.239,-74.2335,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"11",40.5082,40.5123,-74.2335,-74.228,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"12",40.5082,40.5123,-74.2225,-74.217,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"13",40.5082,40.5123,-74.2115,-74.206,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"14",40.5123,40.5164,-74.25,-74.2445,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1
"15",40.5123,40.5164,-74.2445,-74.239,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"16",40.5123,40.5164,-74.239,-74.2335,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,1,1,0,0,0,1,0,0,1,1
"17",40.5123,40.5164,-74.2335,-74.228,0,0,0,0,0,0,1,0,0,0,1,2,3,0,1,0,3,1,1,0,0,0,0,0,1
"18",40.5123,40.5164,-74.217,-74.2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"19",40.5123,40.5164,-74.2115,-74.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"20",40.5123,40.5164,-74.206,-74.2005,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"21",40.5123,40.5164,-74.195,-74.1895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"22",40.5164,40.5205,-74.2445,-74.239,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"23",40.5164,40.5205,-74.239,-74.2335,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1
"24",40.5164,40.5205,-74.2335,-74.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"25",40.5164,40.5205,-74.2225,-74.217,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"26",40.5164,40.5205,-74.2115,-74.206,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"27",40.5164,40.5205,-74.206,-74.2005,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1
"28",40.5164,40.5205,-74.2005,-74.195,0,0,0,1,1,0,1,1,0,0,0,1,0,1,2,0,0,0,2,0,1,0,0,0,1
"29",40.5164,40.5205,-74.1895,-74.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"30",40.5205,40.5246,-74.2445,-74.239,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1
"31",40.5205,40.5246,-74.239,-74.2335,0,0,1,0,0,0,0,0,0,1,4,0,0,1,0,1,0,1,2,0,1,1,2,2,1
"32",40.5205,40.5246,-74.2335,-74.228,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"33",40.5205,40.5246,-74.228,-74.2225,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"34",40.5205,40.5246,-74.2225,-74.217,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1
"35",40.5205,40.5246,-74.217,-74.2115,0,0,0,0,0,0,0,1,0,2,3,2,0,2,2,0,2,0,0,1,1,0,0,2,1
"36",40.5205,40.5246,-74.2115,-74.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"37",40.5205,40.5246,-74.206,-74.2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"38",40.5205,40.5246,-74.2005,-74.195,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"39",40.5205,40.5246,-74.1895,-74.184,0,0,0,0,0,0,0,0,3,1,0,0,0,1,3,0,1,0,0,0,0,2,0,0,1
"40",40.5205,40.5246,-74.1785,-74.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"41",40.5246,40.5287,-74.2445,-74.239,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"42",40.5246,40.5287,-74.239,-74.2335,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,1,1,1,0,0,0,1
"43",40.5246,40.5287,-74.2335,-74.228,0,1,1,2,0,0,0,0,3,2,1,1,3,2,9,3,2,3,1,2,0,0,1,1,3
"44",40.5246,40.5287,-74.228,-74.2225,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
"45",40.5246,40.5287,-74.2225,-74.217,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"46",40.5246,40.5287,-74.217,-74.2115,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,2,0,0,0,1,1,1,0,0,1
"47",40.5246,40.5287,-74.2115,-74.206,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1
"48",40.5246,40.5287,-74.206,-74.2005,0,0,0,0,0,0,0,1,2,2,0,1,0,2,0,1,2,1,0,1,0,1,0,0,1
"49",40.5246,40.5287,-74.195,-74.1895,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
