DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/03/2016,22:55,MANHATTAN,10019,40.7647362,-73.988033,"(40.7647362, -73.988033)",WEST 52 STREET,9 AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3364573,OTHER,BICYCLE,,,
03/08/2016,16:20,MANHATTAN,10012,40.728034,-74.0021503,"(40.728034, -74.0021503)",MAC DOUGAL STREET,WEST HOUSTON STREET,,1,0,0,0,1,0,0,0,Passenger Distraction,Driver Inexperience,,,,3401410,SPORT UTILITY / STATION WAGON,BICYCLE,,,
03/09/2016,9:58,MANHATTAN,10075,40.7750017,-73.9630861,"(40.7750017, -73.9630861)",EAST 77 STREET,MADISON AVENUE,,1,0,0,0,1,0,0,0,Other Vehicular,Other Vehicular,,,,3402187,TAXI,BICYCLE,,,
03/09/2016,5:05,MANHATTAN,10019,40.7656758,-73.9762353,"(40.7656758, -73.9762353)",CENTRAL PARK SOUTH,6 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3402171,PASSENGER VEHICLE,BICYCLE,,,
03/09/2016,15:30,MANHATTAN,10030,40.8184244,-73.9451422,"(40.8184244, -73.9451422)",8 AVENUE,WEST 138 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3402223,SPORT UTILITY / STATION WAGON,BICYCLE,,,
03/09/2016,10:45,MANHATTAN,10003,40.7348379,-73.9907554,"(40.7348379, -73.9907554)",BROADWAY,EAST 14 STREET,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3402145,TAXI,BICYCLE,,,
03/10/2016,9:15,MANHATTAN,10016,40.7430998,-73.9740095,"(40.7430998, -73.9740095)",1 AVENUE,EAST 33 STREET,,4,0,2,0,1,0,1,0,Driver Inattention/Distraction,Lost Consciousness,Other Vehicular,Unspecified,,3402788,TAXI,SPORT UTILITY / STATION WAGON,BICYCLE,MOTORCYCLE,
03/10/2016,7:17,MANHATTAN,10038,40.7101767,-74.0011362,"(40.7101767, -74.0011362)",PEARL STREET,AVENUE OF THE FINEST,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3402761,VAN,BICYCLE,,,
03/10/2016,21:20,MANHATTAN,10038,40.713926,-73.9995563,"(40.713926, -73.9995563)",WORTH STREET,MULBERRY STREET,,1,0,0,0,1,0,0,0,Prescription Medication,Unspecified,,,,3403319,LIVERY VEHICLE,BICYCLE,,,
03/10/2016,20:34,MANHATTAN,10010,40.7401151,-73.9822131,"(40.7401151, -73.9822131)",EAST 25 STREET,3 AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3403332,PASSENGER VEHICLE,BICYCLE,,,
03/10/2016,0:30,MANHATTAN,10022,40.7589756,-73.9645027,"(40.7589756, -73.9645027)",EAST 57 STREET,QUEENSBORO BRIDGE APPROACH,,1,0,0,0,1,0,0,0,Other Vehicular,Other Vehicular,,,,3402786,BUS,BICYCLE,,,
03/11/2016,19:50,MANHATTAN,10016,40.7485397,-73.9731412,"(40.7485397, -73.9731412)",EAST 40 STREET,2 AVENUE,,1,0,0,0,1,0,0,0,Physical Disability,Unspecified,,,,3404003,SPORT UTILITY / STATION WAGON,BICYCLE,,,
03/12/2016,14:45,MANHATTAN,10036,40.7628071,-73.9931557,"(40.7628071, -73.9931557)",WEST 47 STREET,10 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3404025,PASSENGER VEHICLE,BICYCLE,,,
03/13/2016,8:15,MANHATTAN,10065,40.768024,-73.9702814,"(40.768024, -73.9702814)",5 AVENUE,EAST 65 STREET,,1,0,0,0,1,0,0,0,Other Vehicular,Physical Disability,,,,3404591,TAXI,BICYCLE,,,
